"Season","Name","Team","wFB","FA-Z (pi)","vFA (pi)","playerid"
"2021","Tyler Anderson","- - -","-1.8","9.6","90.8","12880"
"2018","James Shields","CHW","-3.8","6.6","89.7","7059"
"2015","Trevor Bauer","CLE","-1.5","9.0","93.6","12703"
"2018","Tyler Anderson","COL","-10.6","8.6","92.0","12880"
"2016","Dallas Keuchel","HOU","-7.4","7.9","89.1","9434"
"2015","Taijuan Walker","SEA","8.8","8.6","94.8","11836"
"2019","Matthew Boyd","DET","-4.5","7.5","92.2","15440"
"2016","Gio Gonzalez","WSN","0.4","8.0","91.8","7448"
"2019","Homer Bailey","- - -","5.5","7.7","93.1","8362"
"2017","John Lackey","CHC","-12.2","7.4","91.5","1507"
"2016","Jon Gray","COL","-9.8","7.5","95.8","14916"
"2016","Jimmy Nelson","MIL","-23.4","7.6","93.8","10547"
"2016","Adam Wainwright","STL","-23.7","6.8","90.9","2233"
"2021","Aaron Nola","PHI","4.9","7.1","93.1","16149"
"2016","Doug Fister","HOU","-0.8","7.7","87.9","9425"
"2017","Rick Porcello","BOS","-14.7","8.3","92.5","2717"
"2020","Patrick Corbin","WSN","-11.4","7.7","90.4","9323"
"2015","Colby Lewis","TEX","-11.2","9.6","89.3","1259"
"2017","Tanner Roark","WSN","-7.1","8.6","92.8","8753"
"2016","Jaime Garcia","STL","-15.4","6.3","91.4","8137"
"2017","Luis Perdomo","SDP","4.6","6.7","94.4","14682"
"2015","Rubby de la Rosa","ARI","-14.6","7.0","95.4","3862"
"2017","Kevin Gausman","BAL","-4.2","8.2","95.1","14107"
"2019","Jose Quintana","CHC","7.8","8.1","91.5","11423"
"2016","Mike Leake","STL","-14.3","4.2","92.1","10130"
"2016","Francisco Liriano","- - -","-16.2","6.9","93.9","3201"
"2016","Hector Santiago","- - -","0.8","8.9","92.0","4026"
"2015","John Danks","CHW","-4.9","9.5","89.9","6329"
"2019","Ivan Nova","CHW","-4.8","5.7","92.6","1994"
"2015","CC Sabathia","NYY","-9.1","6.9","91.1","404"
"2020","Aaron Civale","CLE","-2.7","8.4","91.4","19479"
"2017","Masahiro Tanaka","NYY","-15.4","7.7","92.2","15764"
"2018","Zack Godley","ARI","-6.2","-1.2","86.4","14862"
"2019","German Marquez","COL","5.4","6.4","95.7","15038"
"2021","Kyle Hendricks","CHC","-8.6","7.7","87.5","12049"
"2018","Nick Pivetta","PHI","-8.1","9.0","95.0","15454"
"2017","Ty Blach","SFG","11.0","6.2","90.3","14361"
"2017","Clayton Richard","SDP","-0.1","5.3","91.7","3551"
"2016","Chad Bettis","COL","-10.7","5.8","92.5","10587"
"2016","Michael Pineda","NYY","-26.9","6.6","94.7","5372"
"2017","Martin Perez","TEX","-5.6","7.9","93.4","6902"
"2015","Aaron Harang","PHI","3.0","9.2","90.3","1451"
"2016","Drew Smyly","TBR","13.9","10.2","90.9","11760"
"2016","Robbie Ray","ARI","2.3","8.9","95.0","11486"
"2015","Rick Porcello","BOS","0.6","8.5","92.6","2717"
"2017","Ricky Nolasco","LAA","-22.5","8.0","91.2","3830"
"2015","Jeff Samardzija","CHW","-4.6","6.5","94.3","3254"
"2017","Marco Estrada","TOR","4.2","11.7","89.9","1118"
"2015","Chris Tillman","BAL","2.2","9.8","92.4","5279"
"2015","Alfredo Simon","DET","-7.7","8.1","93.4","2155"
"2016","Jered Weaver","LAA","-23.2","9.9","84.1","4235"
"2019","Martin Perez","MIN","-16.9","8.0","94.2","6902"
"2018","Jon Gray","COL","-14.9","6.7","94.8","14916"
"2021","Jordan Lyles","TEX","-11.2","9.4","93.3","7593"
"2020","Jon Lester","CHC","-4.2","8.0","89.6","4930"
"2019","Jakob Junis","KCR","-23.1","7.0","91.8","13619"
"2021","Dallas Keuchel","CHW","-7.6","7.4","89.1","9434"
"2017","Jason Hammel","KCR","-6.9","8.4","92.3","4538"
"2020","Kyle Gibson","TEX","-8.7","8.4","92.6","10123"
"2016","Wade Miley","- - -","-10.5","8.7","91.1","8779"
"2016","Edinson Volquez","KCR","-22.5","8.0","94.2","3990"
"2019","Reynaldo Lopez","CHW","-4.1","7.7","95.5","16400"
"2020","Johnny Cueto","SFG","-5.4","7.8","91.4","6893"
"2017","Jeremy Hellickson","- - -","3.9","7.9","90.2","4371"
"2018","Dylan Bundy","BAL","-13.5","9.9","91.7","12917"
"2019","Rick Porcello","BOS","5.4","7.8","91.1","2717"
"2017","Matt Moore","SFG","-15.0","7.7","92.3","1890"
"2021","Patrick Corbin","WSN","-11.2","7.8","92.4","9323"
"2016","James Shields","- - -","-17.1","8.0","91.2","7059"
"2018","Lucas Giolito","CHW","-15.9","7.9","92.5","15474"
"2020","Matthew Boyd","DET","-9.4","7.3","91.9","15440"
