"Season","Name","Team","wFB","vFA (sc)","FA-Z (sc)","playerid"
"2016","Josh Tomlin","CLE","1.4","87.8","8.6","9388"
"2021","German Marquez","COL","5.2","94.8","6.9","15038"
"2016","Ricky Nolasco","- - -","-3.8","90.4","9.1","3830"
"2019","Merrill Kelly","ARI","4.1","92.0","8.9","11156"
"2017","Jeff Samardzija","SFG","2.2","94.3","9.4","3254"
"2019","Joe Musgrove","PIT","-12.4","92.7","7.4","12970"
"2019","Masahiro Tanaka","NYY","-12.0","91.5","8.9","15764"
"2016","Yordano Ventura","KCR","-16.2","96.2","9.6","11855"
"2020","Andrew Heaney","LAA","1.8","91.5","9.0","15423"
"2016","R.A. Dickey","TOR","-0.7","82.3","5.5","1245"
"2019","Jon Lester","CHC","-12.2","90.6","8.9","4930"
"2015","Wade Miley","BOS","-9.1","90.8","10.2","8779"
"2020","Alec Mills","CHC","-5.5","89.8","8.1","13834"
"2019","Trevor Bauer","- - -","-3.1","94.5","9.7","12703"
"2016","Mike Fiers","HOU","-17.0","89.4","11.3","7754"
"2018","Jake Odorizzi","MIN","8.7","91.1","9.5","6397"
"2015","Jeff Locke","PIT","-8.6","91.4","10.2","2929"
"2017","Julio Teheran","ATL","0.7","91.4","8.4","6797"
"2020","Martin Perez","BOS","-0.6","92.2","8.6","6902"
"2021","Tyler Anderson","- - -","-1.8","90.6","10.7","12880"
"2018","James Shields","CHW","-3.8","89.5","7.7","7059"
"2015","Trevor Bauer","CLE","-1.5","92.8","9.9","12703"
"2018","Tyler Anderson","COL","-10.6","91.9","9.7","12880"
"2016","Dallas Keuchel","HOU","-7.4","88.2","7.4","9434"
"2015","Taijuan Walker","SEA","8.8","94.1","9.1","11836"
"2019","Matthew Boyd","DET","-4.5","92.1","8.6","15440"
"2016","Gio Gonzalez","WSN","0.4","91.0","8.7","7448"
"2019","Homer Bailey","- - -","5.5","93.0","8.9","8362"
"2017","John Lackey","CHC","-12.2","91.0","9.2","1507"
"2016","Jon Gray","COL","-9.8","95.1","8.4","14916"
"2016","Jimmy Nelson","MIL","-23.4","92.9","8.9","10547"
"2016","Adam Wainwright","STL","-23.7","90.2","8.1","2233"
"2021","Aaron Nola","PHI","4.9","92.9","8.1","16149"
"2016","Doug Fister","HOU","-0.8","86.9","8.2","9425"
"2017","Rick Porcello","BOS","-14.7","92.1","9.7","2717"
"2020","Patrick Corbin","WSN","-11.4","90.2","9.0","9323"
"2015","Colby Lewis","TEX","-11.2","88.0","10.9","1259"
"2017","Tanner Roark","WSN","-7.1","92.5","10.9","8753"
"2016","Jaime Garcia","STL","-15.4","90.5","7.4","8137"
"2017","Luis Perdomo","SDP","4.6","94.3","7.8","14682"
"2015","Rubby de la Rosa","ARI","-14.6","94.4","7.8","3862"
"2017","Kevin Gausman","BAL","-4.2","94.9","9.9","14107"
"2019","Jose Quintana","CHC","7.8","91.4","9.1","11423"
"2016","Mike Leake","STL","-14.3","89.5","3.3","10130"
"2016","Francisco Liriano","- - -","-16.2","92.5","8.9","3201"
"2016","Hector Santiago","- - -","0.8","","","4026"
"2015","John Danks","CHW","-4.9","89.4","11.5","6329"
"2019","Ivan Nova","CHW","-4.8","92.5","6.8","1994"
"2015","CC Sabathia","NYY","-9.1","90.2","8.5","404"
"2020","Aaron Civale","CLE","-2.7","91.3","8.8","19479"
"2017","Masahiro Tanaka","NYY","-15.4","92.3","9.2","15764"
"2018","Zack Godley","ARI","-6.2","89.2","5.7","14862"
"2019","German Marquez","COL","5.4","95.7","7.6","15038"
"2021","Kyle Hendricks","CHC","-8.6","87.3","8.9","12049"
"2018","Nick Pivetta","PHI","-8.1","94.8","10.3","15454"
"2017","Ty Blach","SFG","11.0","90.6","9.6","14361"
"2017","Clayton Richard","SDP","-0.1","90.8","5.3","3551"
"2016","Chad Bettis","COL","-10.7","91.7","6.7","10587"
"2016","Michael Pineda","NYY","-26.9","94.0","8.0","5372"
"2017","Martin Perez","TEX","-5.6","93.2","9.0","6902"
"2015","Aaron Harang","PHI","3.0","89.0","10.5","1451"
"2016","Drew Smyly","TBR","13.9","90.2","11.7","11760"
"2016","Robbie Ray","ARI","2.3","94.2","10.4","11486"
"2015","Rick Porcello","BOS","0.6","91.5","9.7","2717"
"2017","Ricky Nolasco","LAA","-22.5","91.0","9.3","3830"
"2015","Jeff Samardzija","CHW","-4.6","93.8","7.6","3254"
"2017","Marco Estrada","TOR","4.2","89.8","13.5","1118"
"2015","Chris Tillman","BAL","2.2","91.5","11.1","5279"
"2015","Alfredo Simon","DET","-7.7","92.9","9.6","2155"
"2016","Jered Weaver","LAA","-23.2","83.2","11.0","4235"
"2019","Martin Perez","MIN","-16.9","94.2","9.0","6902"
"2018","Jon Gray","COL","-14.9","94.7","7.7","14916"
"2021","Jordan Lyles","TEX","-11.2","93.0","10.6","7593"
"2020","Jon Lester","CHC","-4.2","89.4","9.0","4930"
"2019","Jakob Junis","KCR","-23.1","91.7","8.0","13619"
"2021","Dallas Keuchel","CHW","-7.6","89.0","8.4","9434"
"2017","Jason Hammel","KCR","-6.9","92.2","10.2","4538"
"2020","Kyle Gibson","TEX","-8.7","92.4","9.6","10123"
"2016","Wade Miley","- - -","-10.5","90.3","9.9","8779"
"2016","Edinson Volquez","KCR","-22.5","93.3","8.2","3990"
"2019","Reynaldo Lopez","CHW","-4.1","95.4","8.8","16400"
"2020","Johnny Cueto","SFG","-5.4","91.4","8.4","6893"
"2017","Jeremy Hellickson","- - -","3.9","90.1","10.0","4371"
"2018","Dylan Bundy","BAL","-13.5","91.6","11.1","12917"
"2019","Rick Porcello","BOS","5.4","91.0","8.8","2717"
"2017","Matt Moore","SFG","-15.0","91.9","10.1","1890"
"2021","Patrick Corbin","WSN","-11.2","92.3","8.9","9323"
"2016","James Shields","- - -","-17.1","90.5","9.5","7059"
"2018","Lucas Giolito","CHW","-15.9","92.4","9.3","15474"
"2020","Matthew Boyd","DET","-9.4","91.7","8.2","15440"
